CustomerID,PaymentType,AccountType,PaymentDate,PaymentDay,PaymentAmount,BalanceBefore,CardExpired,PreviousFailures,IsWeekend,PaymentStatus
CUST7387,Credit Card,Savings,2025-07-27,4,89.9,102.99,1,2,TRUE,Fail
CUST6363,Insurance,Salary,2025-07-03,18,83.37,153.9,1,1,FALSE,Fail
CUST4548,Utility,Current,2025-07-12,10,57.57,51.31,1,0,TRUE,Fail
CUST1636,Subscription,Savings,2025-07-26,2,82.26,6.6,0,1,TRUE,Fail
CUST1108,Utility,Current,2025-07-08,8,44.62,80.33,0,0,FALSE,Success
CUST3992,Insurance,Salary,2025-07-03,12,53.9,-33.08,1,1,FALSE,Fail
CUST1653,Subscription,Savings,2025-07-27,9,151.78,191.49,0,0,TRUE,Success
CUST9552,Insurance,Current,2025-07-12,19,40.47,79.25,1,0,TRUE,Fail
CUST1973,Subscription,Salary,2025-07-14,19,56.99,124.36,0,0,FALSE,Success
CUST1587,Loan EMI,Current,2025-07-21,13,56.95,169.56,1,0,FALSE,Fail
CUST1642,Subscription,Salary,2025-07-23,13,58.99,78.71,1,1,FALSE,Fail
CUST2061,Utility,Savings,2025-07-12,13,37.05,111.65,0,1,TRUE,Success
CUST3385,Loan EMI,Current,2025-07-19,11,81.56,145.65,0,1,TRUE,Success
CUST5536,Subscription,Current,2025-07-05,25,44.73,-14.43,1,0,TRUE,Fail
CUST4809,Insurance,Salary,2025-07-19,16,61.18,134.04,1,0,TRUE,Fail
CUST3991,Insurance,Salary,2025-07-03,28,41.08,67.8,1,1,FALSE,Fail
CUST4741,Loan EMI,Salary,2025-07-13,25,92.46,156.85,1,2,TRUE,Fail
CUST1890,Loan EMI,Current,2025-07-23,1,49.82,54.36,1,2,FALSE,Fail
CUST8546,Credit Card,Current,2025-07-17,3,69.67,69.15,1,0,FALSE,Fail
CUST8863,Loan EMI,Current,2025-07-17,10,99.38,187.19,1,2,FALSE,Fail
CUST9819,Utility,Savings,2025-07-13,1,104.19,163.97,0,2,TRUE,Success
CUST3006,Credit Card,Savings,2025-07-06,14,-3.59,57.51,0,0,TRUE,Success
CUST7254,Insurance,Savings,2025-07-01,9,32.44,104.56,0,2,FALSE,Success
CUST4913,Credit Card,Salary,2025-07-24,9,119.34,113.43,0,0,FALSE,Fail
CUST2489,Credit Card,Savings,2025-07-01,12,68.64,67.3,0,0,FALSE,Fail
CUST8652,Credit Card,Current,2025-07-07,14,102.46,138.9,1,1,FALSE,Fail
CUST7472,Loan EMI,Current,2025-07-06,21,77.91,146.34,1,2,TRUE,Fail
CUST9115,Insurance,Savings,2025-07-11,23,67.3,68.91,0,1,FALSE,Success
CUST7907,Utility,Salary,2025-07-06,28,-4.66,32.62,0,0,TRUE,Success
CUST6446,Utility,Current,2025-07-24,27,64.72,44.61,0,1,FALSE,Fail
CUST2489,Subscription,Current,2025-07-07,24,131.59,160.32,1,0,FALSE,Fail
